mmsi,name,year,gaps,flags,either_endpoint_inside_eez
740375000,PROTEGAT,2018,4,FLK,0
740375000,PROTEGAT,2019,13,FLK,0
740375000,PROTEGAT,2020,4,FLK,0
740375000,PROTEGAT,2021,7,FLK,0
740375000,PROTEGAT,2022,11,FLK,0
740375000,PROTEGAT,2023,1,FLK,0
440256000,OYANG77,2017,41,KOR,0
440256000,OYANG77,2018,44,KOR,0
440256000,OYANG77,2019,28,KOR,1
440256000,OYANG77,2020,12,KOR,0
440256000,OYANG77,2021,2,KOR,0
440256000,OYANG77,2023,1,KOR,0
440256000,OYANG77,2024,1,KOR,0
416004903,SHIN DAR,2017,8,TWN,0
416004903,SHIN DAR,2018,9,TWN,0
416004903,SHIN DAR,2019,10,TWN,0
416004903,SHIN DAR,2020,8,TWN,0
416004903,SHIN DAR,2021,9,TWN,0
416004903,SHIN DAR,2024,1,TWN,0
212333033,J,2017,2,CYP,0
440288201,,2017,5,KOR,0
412328766,HAI YANG 2,2017,3,CHN,0
412328766,HAI YANG 2,2018,12,CHN,0
412328766,HAI YANG 2,2019,23,CHN,1
412328766,HAI YANG 2,2020,18,CHN,0
412328766,HAI YANG 2,2021,1,CHN,0
412328766,HAI YANG 2,2022,23,CHN,0
412328766,HAI YANG 2,2023,15,CHN,0
412328766,HAI YANG 2,2024,12,CHN,0
440854000,NO.707HONGJIN,2017,8,KOR,0
440854000,NO.707HONGJIN,2020,14,KOR,0
440854000,NO.707HONGJIN,2022,1,KOR,0
412217993,LIAO YU 9,2017,11,CHN,0
412217993,LIAO YU 9,2018,2,CHN,0
412217993,LIAO YU 9,2019,9,CHN,0
412217993,LIAO YU 9,2020,11,CHN,0
412217993,LIAO YU 9,2023,1,CHN,0
412217992,ZHAN HAI 008,2017,8,CHN,0
412217992,ZHAN HAI 008,2018,9,CHN,0
412217992,ZHAN HAI 008,2019,10,CHN,1
412217992,ZHAN HAI 008,2020,7,CHN,0
412217992,ZHAN HAI 008,2021,1,CHN,0
412217992,ZHAN HAI 008,2026,1,CHN,0
412439576,LUWEIYUANYU909,2017,1,CHN,0
412439576,LUWEIYUANYU909,2018,1,CHN,0
